train_loss,valid_loss,val_rmse,pre_target_rmse,learning_rate
1734.4707318474266,1578.9611328125,40.620943307070675,[34.634113 48.47183  37.431843],0.001
1559.8845932904412,1432.3994873046875,38.81395144981296,[33.12104 46.33214 35.71971],0.001
1414.2961856617646,1287.7986083984374,36.948245581657865,[31.599585 44.0448   34.015297],0.001
1278.3156774184283,1150.21767578125,35.08599055746378,[30.1361  41.7502  32.27718],0.001
1149.4389953613281,1031.9327880859375,33.40630846580478,[28.926165 39.58335  30.730766],0.001
1040.492036707261,927.4222351074219,31.850313088691237,[27.871704 37.48126  29.353886],0.001
942.9384532255285,842.9427185058594,30.5305513050171,[26.938261 35.694195 28.224075],0.001
862.6376782585593,756.9733154296875,29.073804924923397,[25.724396 33.85731  26.977701],0.001
787.870543536018,686.3847686767579,27.833646060610597,[24.929407 32.162003 25.850834],0.001
719.6419677734375,623.9526763916016,26.653139243679508,[23.819948 30.915337 24.65809 ],0.001
662.1001407398898,569.4259826660157,25.577629853561124,[23.210373 29.252352 23.837448],0.001
612.6447511560776,528.1970611572266,24.70950734875078,[22.382498 28.336401 22.972837],0.001
559.8444554946002,486.5440139770508,23.745579358324783,[21.847197 26.816912 22.251087],0.001
518.4168252383961,455.0869506835937,23.002154705456398,[21.259542 25.935747 21.509676],0.001
483.1682986091165,433.37415008544923,22.359768760727448,[20.751217 25.23816  20.791826],0.001
449.74097397748164,403.9832473754883,21.65915271852468,[20.33981  23.974918 20.465876],0.001
414.85986417882583,386.7125762939453,21.09936195602066,[19.812763 23.504782 19.761805],0.001
391.810224645278,374.2969009399414,20.793752847206374,[19.686338 22.788515 19.755308],0.001
380.6361218620749,366.3961776733398,20.383644189385105,[19.37932  22.393549 19.221077],0.001
344.0357652551988,368.67249908447263,20.427250243002224,[19.53208  21.957191 19.70272 ],0.001
322.67549559649296,331.93260955810547,19.466846158667675,[18.57492  21.178429 18.528915],0.001
304.1685131297392,342.43012084960935,19.32375800125368,[18.207575 21.722158 17.80042 ],0.001
294.981253231273,346.06553039550784,19.64551186593542,[18.821312 20.924435 19.124973],0.001
283.1437027875115,329.46131896972656,19.104643316226408,[18.145664 20.549938 18.530975],0.001
266.01625599580655,352.889013671875,19.06420010349077,[17.949116 21.47228  17.524313],0.001
257.54143299775967,307.2951721191406,18.276965977742655,[17.41527  19.941113 17.355198],0.001
232.551274692311,299.51551208496096,17.95126782033575,[17.004713 19.497025 17.246735],0.001
222.28121499454275,286.26189575195315,17.563062991421088,[16.47857  19.374666 16.687197],0.001
212.41405285105986,272.72093200683594,16.979865323847996,[15.855421 18.887585 16.025362],0.001
201.42100255629595,268.8198486328125,16.896253073386475,[15.717931 19.050114 15.699998],0.001
196.32874601027544,292.72691650390624,16.99517304949914,[16.079445 18.543243 16.251379],0.001
186.2231034671559,276.14723205566406,16.660308744173136,[15.758028 18.162819 15.952875],0.001
176.61174796609316,286.65086975097654,16.642011385909758,[15.819071 18.016418 16.001102],0.001
169.47185516357422,277.70107421875,16.20339432936719,[15.187589 17.836359 15.454819],0.001
166.84018325805664,272.85973358154297,16.523455045794467,[15.214529  18.59168   15.5544615],0.001
154.70563843671013,279.3396850585938,16.091822358768813,[15.02023  17.422962 15.737638],0.0005
148.27150165333467,281.5878662109375,16.318426582933114,[15.374339 17.414728 16.100624],0.0005
145.48252240349265,283.00621185302737,16.130577364838707,[15.159445 17.442354 15.701659],0.0005
137.96359365126665,270.16405334472654,15.892272683750663,[14.707893 17.525572 15.304418],0.0005
134.15425917681526,270.4746551513672,16.021581399994215,[14.950398 17.47899  15.525582],0.0005
