train_loss,valid_loss,val_rmse,pre_target_rmse,learning_rate
5421.047498914931,3757.769970703125,36.02431938169079,[28.657713 46.254044 30.537743],0.001
3826.9127739800347,2231.8191162109374,27.943884066791455,[22.429987 36.454636 22.595076],0.001
2590.980265299479,1607.5787353515625,23.72502927627606,[21.675076 27.608053 21.368612],0.001
2015.4516296386719,1053.728466796875,19.512033515353977,[17.791832 23.166899 16.997173],0.001
1453.6144222683376,824.4226318359375,17.206526223434363,[15.77508  20.015059 15.451146],0.001
1169.5396219889324,652.7411682128907,15.246269395125813,[13.260311 18.841946 12.903155],0.001
992.3710666232639,528.5300903320312,13.773366044021962,[11.637823 17.366335 11.492969],0.001
826.2185855441624,522.3660675048828,13.564406300540131,[12.048576  17.32456   10.3281555],0.001
790.7570648193359,429.1566162109375,12.418527212002008,[ 9.892678 16.659513  9.341037],0.001
759.3638356526693,461.53382568359376,12.796578092938436,[10.027526 16.084528 11.488861],0.001
692.4897918701172,624.8317687988281,14.823248074281146,[13.101138 19.023664 11.20921 ],0.001
630.219868130154,461.7459259033203,12.820498170501946,[10.048519 16.33541  11.19273 ],0.001
579.7281239827474,471.10302734375,12.924395867696171,[10.700572 17.188513  9.548446],0.001
511.01878865559894,444.11317138671876,12.525835727365472,[10.446414 16.071152 10.162685],0.001
497.6556176079644,426.0296264648438,12.31594289288564,[10.10855  16.235928  9.44771 ],0.001
492.6983812120226,429.8399383544922,12.398539032547406,[10.6258955 16.237604   9.197928 ],0.001
490.7158652411567,439.35931701660155,12.562595348091206,[10.026438 16.73481   9.63707 ],0.001
409.69359503851996,491.8796081542969,13.197790966724968,[10.951469 17.913408  9.039921],0.001
381.80781809488934,527.2074249267578,13.71523203309662,[11.242005 18.3482   10.063979],0.001
392.71746910942926,505.3738952636719,13.43655463153449,[10.721611 17.78042  10.513166],0.001
363.430408053928,512.158642578125,13.522588411205422,[11.353907 18.058191  9.673247],0.0005
346.1014234754774,514.2091918945313,13.483954607619813,[11.326485 17.839561  9.945444],0.0005
322.7922549777561,482.8419494628906,13.110623287745097,[10.864656 17.438602  9.67056 ],0.0005
278.78235075208875,452.88568725585935,12.760711359267212,[10.404019 17.035746  9.489312],0.0005
301.2967715793186,455.9135681152344,12.794250889949007,[10.248516 17.227814  9.447166],0.0005
