train_loss,valid_loss,val_rmse,pre_target_rmse,learning_rate
1638.6892628389246,1914.0546264648438,43.74990652891801,[37.949802 51.022446 41.215115],0.001
1469.5340899299172,1763.5597229003906,41.99475646211679,[36.50531  49.014477 39.44138 ],0.001
1290.0071034150965,1617.524398803711,40.21846014124375,[35.03677  46.946247 37.6968  ],0.001
1147.4129441205193,1484.5799865722656,38.530244119575244,[33.708622 44.877846 36.103287],0.001
1026.712486042696,1365.142333984375,36.94783425391382,[32.579628 42.851734 34.60815 ],0.001
968.2408949908088,1263.3267974853516,35.543306826408966,[31.633503 40.97895  33.31707 ],0.001
892.4180037554572,1178.3600006103516,34.32724843839894,[30.842728 39.301548 32.236538],0.001
775.6224714228335,1098.3218078613281,33.14093808786574,[30.019615 37.646103 31.249947],0.001
723.3831392176011,1017.1659545898438,31.893037367418163,[28.727257 36.330486 30.105452],0.001
653.0985065908993,946.8076171875,30.770236172022326,[27.9444   34.83289  29.089565],0.001
600.220240424661,891.7681732177734,29.86248491621375,[27.293447 33.595592 28.314445],0.001
553.6798525417553,840.7612609863281,28.99588299170677,[26.534903 32.556915 27.535978],0.001
512.4693848105038,780.8890686035156,27.944392981796792,[25.812693 31.198795 26.514284],0.001
488.3183005837833,732.9264602661133,27.07261105861882,[24.91749  30.335262 25.64507 ],0.001
512.7786730598001,696.1127700805664,26.383944906479112,[24.507538 29.259918 25.131166],0.001
420.83458575080425,661.2269897460938,25.714331950797035,[23.965174 28.54362  24.384686],0.001
385.60275913687315,623.208122253418,24.964134429467006,[23.308832 27.653309 23.698458],0.001
362.79791428061094,593.5959701538086,24.363823308965053,[22.943447 26.953588 22.975857],0.001
338.20146998237163,570.9328155517578,23.89420141641325,[22.528366 26.365786 22.58576 ],0.001
319.61589123221006,542.0448760986328,23.2818569027439,[22.115297 25.421007 22.154472],0.001
305.50879624310664,512.9422607421875,22.64822729723082,[21.485558 24.948927 21.324833],0.001
287.7614318623262,498.4329147338867,22.325612038214302,[21.29051  24.446695 21.080135],0.001
289.68692779541016,473.21057891845703,21.753404372801988,[20.60215  23.90641  20.583168],0.001
286.95784490248735,466.1929016113281,21.591499973224415,[20.617306 23.523186 20.497929],0.001
267.1659913904527,464.10601806640625,21.5431192622802,[20.386848 23.598291 20.489388],0.001
264.16034249698413,431.3369903564453,20.768652931282716,[19.797165 22.772823 19.582687],0.001
231.45978568581972,419.9010314941406,20.491486805357503,[19.481094 22.444607 19.401796],0.001
220.14290304744944,391.40987396240234,19.784079977513247,[18.932076 21.725967 18.54153 ],0.001
220.19449391084558,385.6747512817383,19.638602626835894,[18.896826 21.465244 18.41677 ],0.001
199.68087431963752,380.8106689453125,19.514370831397883,[18.56981  21.684603 18.093428],0.001
200.6217826394474,374.0510482788086,19.34039879088911,[18.514502 21.082191 18.30048 ],0.001
203.56908551384421,351.23999786376953,18.74139695211637,[18.280344 20.429146 17.38387 ],0.001
202.12296699075137,340.4955520629883,18.45252218400433,[17.766314 20.269615 17.1752  ],0.001
170.7158706889433,343.2355194091797,18.526615277292624,[17.659624 20.47212  17.283993],0.001
167.2042999267578,318.0056610107422,17.83271279844862,[17.033104 19.757633 16.53863 ],0.001
164.80022093828987,308.66745376586914,17.56893422923462,[16.74603  19.43877  16.361755],0.001
163.45079130284927,306.8961524963379,17.518451663364562,[16.645203 19.507185 16.220219],0.001
150.70040192323572,308.5210266113281,17.564765756871054,[16.457405 19.588089 16.462793],0.001
138.8393762812895,305.4844551086426,17.47811305705385,[16.338284 19.515455 16.390877],0.001
140.8234924989588,283.57150650024414,16.839580522328006,[15.929812 18.802183 15.602351],0.001
136.1408839786754,289.23536682128906,17.006920696072527,[16.171219 18.78409  15.91715 ],0.001
132.18470556595747,281.4667778015137,16.776971310621647,[15.753057 18.666183 15.742145],0.001
127.71165780460133,265.9816436767578,16.308943203591358,[15.354667 18.142082 15.265778],0.001
126.6853047539206,252.33388900756836,15.885021500805552,[14.995856 17.771095 14.707623],0.001
140.28169430003447,295.2204284667969,17.18197975981804,[15.676081 19.233778 16.431177],0.001
148.92560128604666,300.36254119873047,17.33097167921358,[15.914364 19.77811  16.02021 ],0.001
126.07467202579274,273.60309982299805,16.540950935823737,[15.270779 18.599201 15.546132],0.001
117.93808207792394,261.06658935546875,16.15755329003474,[15.123387 18.05162  15.120241],0.001
105.99599905575023,268.75199127197266,16.393656811174807,[15.052681 18.444086 15.475415],0.001
99.91646048601936,242.0621566772461,15.558346113551481,[14.517722 17.46808  14.501323],0.001
93.75912997301887,231.9036979675293,15.228385741758865,[14.223105 17.17782  14.083215],0.001
