train_loss,valid_loss,val_rmse,pre_target_rmse,learning_rate
1722.2961282169117,1451.0763244628906,38.09299533963315,[31.304949 45.45269  36.15636 ],0.001
1540.0908472397748,1312.5635986328125,36.22931791467374,[29.851322 43.30225  34.227245],0.001
1513.56491986443,1177.9420776367188,34.321163452630614,[28.37712 41.03374 32.32333],0.001
1259.7289168413947,1049.2724304199219,32.392475375270415,[26.957167 38.696487 30.392605],0.001
1136.9023845897002,939.3670196533203,30.649096666375726,[25.71176  36.51322  28.701763],0.001
1038.6310810762293,848.5171051025391,29.129316673134472,[24.769733 34.505676 27.228107],0.001
950.0478757970474,770.277587890625,27.753874087331823,[23.929726 32.587948 26.004354],0.001
877.0338076423196,703.7909393310547,26.529058682694412,[23.033588 30.966848 24.937538],0.001
821.9826534495634,638.7564544677734,25.273629491156388,[21.917707 29.515154 23.764235],0.001
734.3342394548304,576.7714691162109,24.016068483624796,[21.202076 27.773424 22.570414],0.001
1016.1349900189568,529.1624450683594,23.003530480141112,[20.28373  26.771456 21.432375],0.001
623.6900500129251,474.2356262207031,21.77695101944083,[19.218609 25.505789 20.070042],0.001
575.0396710564108,439.4016799926758,20.961909308211958,[18.663418 24.361465 19.40105 ],0.001
560.7536540311926,407.66554260253906,20.190729502950806,[18.176397 23.499037 18.450218],0.001
500.23189499798946,375.82281494140625,19.386150867539033,[17.668638 22.326588 17.799189],0.001
463.0907518162447,355.3575859069824,18.85093033414772,[17.334652 21.785069 17.058529],0.001
432.9598314621869,358.62454986572266,18.937383972416836,[17.547775 21.974476 16.884062],0.001
416.00692928538604,333.9172897338867,18.273404098943395,[16.954683 21.195078 16.280643],0.001
394.85407840504365,297.4672966003418,17.24724081335412,[16.276686 19.843288 15.28775 ],0.001
387.31615044088926,312.1686134338379,17.66829390799068,[16.944517 20.133562 15.621426],0.001
366.870885961196,272.0822944641113,16.49491757809669,[15.845326 18.927052 14.385383],0.001
338.65656863941865,249.00971221923828,15.780041336759664,[15.352178 17.90607  13.809863],0.001
312.7906295271481,236.7741870880127,15.387467950311871,[15.225667 17.503683 13.119554],0.001
295.49443570305317,226.6002655029297,15.053246152460355,[14.567395 17.388836 12.853798],0.001
284.6217756832347,228.70591735839844,15.123025055881522,[15.064542 17.222824 12.749571],0.001
277.17680785235234,202.56402587890625,14.232498396982772,[14.604517 15.832103 11.989355],0.001
257.4497958912569,214.34401321411133,14.640491594909816,[14.348308 16.779596 12.474101],0.001
257.5116725248449,188.45727157592773,13.727974191067851,[14.025155 15.239607 11.679949],0.001
254.96141254200654,205.15670013427734,14.323291425021477,[14.5399685 16.086323  12.053614 ],0.001
232.32354568032656,195.76569747924805,13.991629141567334,[14.204806 15.824209 11.623894],0.001
213.62183043536018,180.42736625671387,13.432325493527266,[13.530054 15.46988  10.904244],0.001
210.03238902372473,165.14891815185547,12.851027605699901,[13.35274  14.377014 10.50964 ],0.001
205.54223587933708,184.7441062927246,13.5920599928279,[13.310637 15.736682 11.376118],0.001
211.5912603490493,155.51623153686523,12.4706148746388,[12.964702 14.10529   9.975268],0.001
200.85955771277932,216.5626106262207,14.716065244960873,[13.45665  18.010822 12.00902 ],0.001
201.61139117970185,180.36852264404297,13.430135154697346,[13.933343 14.911527 11.163058],0.001
193.72897742776308,160.3553123474121,12.663147353771112,[12.882757 14.611284 10.080222],0.001
181.91323583266313,145.27820587158203,12.05313996365256,[12.176015 13.886586  9.733548],0.001
177.16017846500174,140.76090240478516,11.864270311914664,[12.552985 13.109838  9.63522 ],0.001
159.91468564201804,141.19706916809082,11.88263657619609,[11.941501 13.712199  9.641956],0.001
146.80565284280215,142.05512046813965,11.918687626836007,[12.073643 13.839152  9.427108],0.001
144.85104841344497,142.80504608154297,11.950106210914965,[11.6716   14.031155  9.762968],0.001
143.0753849253935,165.9814453125,12.883378645079869,[12.514242  15.194231  10.5106325],0.001
148.58173976225012,164.2742919921875,12.816953899073546,[12.471545 14.971469 10.636662],0.001
144.30321547564338,131.95471572875977,11.487154877203126,[11.140578 13.686308  9.188942],0.001
138.21255538042854,142.59070205688477,11.94113535225929,[12.246728 14.095894  8.893568],0.001
138.95815366857192,127.09188461303711,11.273502468627763,[10.589762 13.411861  9.44746 ],0.001
123.51518922693589,138.79660034179688,11.781196250084616,[11.120437  14.4061575  9.229751 ],0.001
120.97037124633789,134.84829139709473,11.612419294029628,[10.873563 13.855427  9.712756],0.001
119.69440000197467,121.13580322265625,11.00617114271154,[10.745535 13.182937  8.611101],0.001
99.05814956216251,138.97721099853516,11.788859937582162,[11.118779 14.335133  9.370612],0.001
99.54923136094037,129.23710441589355,11.368250594617944,[11.271661 13.416384  8.981184],0.001
94.62351489067078,138.80537796020508,11.78156925649159,[10.487632 14.782359  9.375906],0.001
122.67497107561897,130.93244743347168,11.442571797494667,[10.283691 13.962246  9.596806],0.001
