train_loss,valid_loss,val_rmse,pre_target_rmse,learning_rate
1659.2027427448945,1515.0833435058594,38.924068773482716,[33.551975 45.716465 36.462574],0.001
1490.5256759980145,1378.5239868164062,37.12848027931607,[32.018913 43.61683  34.75534 ],0.001
1504.761921602137,1244.0866241455078,35.27161453622711,[30.516052 41.42836  32.935112],0.001
1259.134189381319,1116.1461639404297,33.40877307181547,[29.096567 39.163563 31.1134  ],0.001
2389.665900735294,1000.7384338378906,31.63445059354546,[27.831875 36.93547  29.383211],0.001
1054.980806238511,900.7887725830078,30.013143076396027,[26.787703 34.793583 27.824303],0.001
1049.2389122458064,830.1080169677734,28.811594388221668,[26.125635 33.07884  26.71265 ],0.001
876.0799372055951,766.1916122436523,27.680165992195004,[25.439198 31.47208  25.708565],0.001
813.2622532564051,697.6825180053711,26.41367891987088,[24.204733 30.070478 24.55493 ],0.001
751.122592196745,640.3053970336914,25.304255746548222,[23.318367 28.71436  23.508623],0.001
723.6293119542739,594.6446380615234,24.38533559919068,[22.826302 27.417282 22.609434],0.001
676.5805412741269,554.308723449707,23.543760421503535,[22.25333  26.228394 21.904036],0.001
621.8784045051126,517.8897705078125,22.757191621722846,[21.472683 25.501905 21.029648],0.001
685.9913159538718,482.3556823730469,21.962598045099877,[21.008383 24.423363 20.229046],0.001
539.5439419465906,443.59615325927734,21.06172264770078,[20.48014  22.981218 19.575901],0.001
519.9929549273322,424.0720024108887,20.593006821045844,[19.922117 22.731134 18.93728 ],0.001
485.5248220107135,390.0647964477539,19.750056399494234,[19.391973 21.469597 18.253822],0.001
447.86591518626494,369.7181587219238,19.228056054849578,[19.084295 20.716814 17.769573],0.001
431.84749648150273,339.6155605316162,18.428661646152154,[18.121532 19.984524 17.060936],0.001
498.5667778463925,340.07261848449707,18.441057489156076,[18.404184 19.837791 16.969557],0.001
382.87397665136,305.9382667541504,17.491090959098383,[17.28913  18.873869 16.20734 ],0.001
364.1561562033261,307.8611526489258,17.54597233041051,[17.508457 18.949436 16.061016],0.001
350.8607505349552,296.28847885131836,17.213032349531435,[17.318697 18.380924 15.845182],0.001
334.3842010498047,267.6643257141113,16.3604503959458,[16.308369 17.556646 15.125952],0.001
312.3426907483269,259.62563705444336,16.112902931164843,[16.081753 17.221998 14.955163],0.001
331.4874368555406,247.91503524780273,15.74531751993941,[15.781212 16.918293 14.438482],0.001
298.870028776281,244.23802185058594,15.628114923886974,[15.428488 17.040161 14.293658],0.001
283.4244068370146,252.63180541992188,15.894394449061082,[15.796257 17.1862   14.594798],0.001
283.6085131028119,230.44222831726074,15.180322780067334,[14.9161   16.55118  13.960483],0.001
259.6885787739473,217.54736709594727,14.749486364699651,[14.420023 16.149218 13.561259],0.001
243.46939894732307,216.2628173828125,14.705877486284237,[14.468504 15.993875 13.551638],0.001
234.7458932539996,203.59614181518555,14.268711052940441,[14.05416  15.487815 13.168011],0.001
490.19424573112934,204.20799255371094,14.290135130086517,[13.986983  15.5512085 13.234355 ],0.001
217.50633194867302,189.35695266723633,13.760703065342957,[13.299525 15.179184 12.680137],0.001
203.95433762494255,185.0145206451416,13.602003937229192,[13.181426 14.873285 12.65223 ],0.001
205.52333809347715,191.82179069519043,13.849973911302143,[13.514482 14.871822 13.101641],0.001
234.53111872953528,177.28615188598633,13.31488617479159,[12.930764 14.496472 12.430053],0.001
196.2493896484375,173.06521129608154,13.155424187264925,[12.634458 14.662897 12.023539],0.001
183.62707766364602,186.94343757629395,13.672725419979598,[12.255578 15.763765 12.733214],0.001
182.0969372917624,158.51901245117188,12.590432764300948,[11.564913 14.227818 11.805889],0.001
165.77032941930435,174.1618194580078,13.197038283569833,[12.565359  14.621926  12.2799225],0.001
160.9648795408361,154.7171173095703,12.438533567489792,[11.52137  14.029146 11.601398],0.001
153.57236884622012,182.92411041259766,13.524944289792552,[12.657368  15.090791  12.6819315],0.001
154.8727517969468,161.17227363586426,12.695363581628001,[11.583843 14.620536 11.643508],0.001
164.86915453742532,157.63277435302734,12.555188836637736,[11.428938 14.225538 11.82843 ],0.001
160.1897154415355,149.5141315460205,12.22759642693047,[11.279494  14.1478615 11.006969 ],0.001
146.94652041266946,144.56457710266113,12.023500954186035,[11.03068  13.967003 10.813911],0.001
138.9016710028929,152.5200595855713,12.349901429064817,[11.048843 14.237592 11.522769],0.001
139.9042838601505,143.19244003295898,11.966303881686574,[10.749878 13.75532  11.171777],0.001
129.31170227948357,154.72911071777344,12.439015051803112,[11.289447 14.399622 11.374822],0.001
114.87371871050667,135.5343837738037,11.641923296936714,[10.403118 13.473135 10.809851],0.001
