train_loss,valid_loss,val_rmse,pre_target_rmse,learning_rate
1054.6912875705295,838.6665191650391,28.026612849790308,[ 8.452499 17.595692 26.591293 44.46479  29.363028],0.003
772.7384346856011,605.9069671630859,23.78920361206095,[ 8.751674 15.892468 22.76144  37.471916 24.046646],0.003
589.467530992296,479.39306640625,21.255466610729666,[ 8.502445 15.974377 21.479496 31.78095  21.450048],0.003
499.25993092854816,420.00988006591797,19.94715155054648,[ 8.429858 16.224203 20.006954 28.898285 20.488241],0.003
412.69268798828125,336.60325622558594,17.886573299392236,[ 8.249527 15.831184 17.304153 26.22773  17.135895],0.003
342.98179626464844,294.31714630126953,16.776720284544872,[ 8.060634 15.582761 16.296707 23.776285 16.389055],0.003
293.10439512464734,259.1897602081299,15.72929789844193,[ 7.9161773 15.567345  14.32298   22.586863  14.721814 ],0.003
261.3166105482313,229.63497161865234,14.885689108481845,[ 7.3848686 15.5145445 13.220306  21.51859   13.223279 ],0.003
234.91307661268445,206.45919227600098,14.144158527780448,[ 6.6869793 15.043113  12.068167  20.37129   12.986338 ],0.003
214.42303975423178,191.67150497436523,13.692201407901187,[ 5.9360304 15.1890745 11.833141  19.844921  11.730018 ],0.003
187.24829461839465,216.6035499572754,14.56920603623846,[ 6.453455 15.046432 12.875381 20.472929 14.434349],0.003
176.8649548424615,187.72135543823242,13.566051387347043,[ 5.1817875 14.975391  11.036246  20.628706  11.033274 ],0.003
160.86662165323892,164.64085388183594,12.672258514734374,[ 5.0533776 14.582846   9.783185  19.11609   10.178359 ],0.003
139.30004607306586,161.19504737854004,12.509478827947829,[ 5.2144284 14.671293   9.521531  18.964773   9.469745 ],0.003
125.71030849880643,166.67612075805664,12.719031928309613,[ 5.6766953 14.269009  10.2661705 19.251917   9.849305 ],0.003
113.1759673224555,163.92466163635254,12.791902985186445,[ 5.370229 13.496284 10.739159 19.374882 10.791633],0.003
111.48351224263509,154.1354169845581,12.31294613722179,[ 4.700078 13.459756  9.835231 19.245981  9.362048],0.003
103.22645717196994,145.90345764160156,12.010735478047662,[ 4.9746404 13.230748   9.830561  18.314459   9.456733 ],0.003
89.36880260043674,147.95072650909424,12.169990677716362,[ 4.9874144 12.837855  10.326111  18.312923  10.433927 ],0.003
87.23359786139594,146.9788875579834,12.106306314805133,[ 4.9564424 12.73511   10.47888   18.174662  10.292649 ],0.003
75.72203646765814,146.70442581176758,11.992626467943099,[ 5.455491 13.013739 10.182128 17.653263 10.231431],0.003
70.39997302161322,136.09748649597168,11.625055128397511,[ 4.515331  13.3962755  8.742086  17.836817   9.0158205],0.003
68.98413774702284,177.53652000427246,13.313979089084162,[ 5.133864 13.535291 10.47541  20.9251   11.36466 ],0.003
84.38468509250217,148.26808166503906,12.128288530968815,[ 5.0759854 12.663193  10.727395  18.14046   10.2567835],0.003
63.452331966824005,144.1198616027832,12.049808130280022,[ 4.554639 13.41782   9.853192 18.040209 10.132729],0.003
63.98101149664985,133.762300491333,11.62512272595669,[ 4.5270414 12.279185   9.875665  17.407093  10.193593 ],0.003
60.83688841925727,132.51796913146973,11.534225617513433,[ 4.2844734 12.576324   9.527842  17.57817    9.428642 ],0.003
48.38413816028171,136.49074363708496,11.706517704368594,[ 4.9164486 12.711774  10.090703  17.138721  10.1928425],0.003
52.448637856377495,141.9543914794922,11.935664330392862,[ 4.7961955 13.003717  10.252174  17.658377  10.162427 ],0.003
49.67659409840902,147.0594425201416,12.254958414344157,[ 5.158625 12.367743 10.746317 18.302418 10.994804],0.003
45.69249725341797,146.15728187561035,12.132487394026459,[ 3.9355776 13.117901  10.177156  18.492031  10.143396 ],0.003
41.216700341966416,154.79848670959473,12.450730537521434,[ 4.3119435 13.313402  10.802227  18.744024  10.546913 ],0.003
36.688518312242294,142.0237693786621,12.011974717801138,[ 4.185904 13.399606  9.933983 17.920298 10.224742],0.0015
34.458129776848686,152.28927040100098,12.407365494167543,[ 4.5846653 13.091436  10.468148  18.750954  10.776287 ],0.0015
30.480897161695694,141.48125457763672,11.969769865164492,[ 4.269712 13.255618  9.883386 17.891497 10.229766],0.0015
30.90517144733005,143.3925437927246,12.069365608085647,[ 4.1161904 12.951767  10.115778  18.160883  10.559834 ],0.0015
29.119165897369385,141.11823272705078,11.921630536893984,[ 4.1597967 12.953045  10.166089  17.650396  10.5192795],0.0015
