train_loss,valid_loss,val_rmse,pre_target_rmse,learning_rate
1701.1850090026855,1572.344140625,42.916395661816274,[37.003475 50.804115 39.68798 ],0.001
1536.2454223632812,1450.7733764648438,41.30077810963054,[35.633545 48.96168  38.08237 ],0.001
1401.2323760986328,1330.2148742675781,39.61614063273721,[34.296185 47.00998  36.361378],0.001
1271.0534839630127,1218.0343475341797,37.961073362331476,[33.012115 45.030735 34.721214],0.001
1147.784954071045,1118.433154296875,36.403076243099804,[31.86787 43.11593 33.18143],0.001
1039.685489654541,1030.153466796875,34.93998935954779,[30.877148 41.208553 31.794111],0.001
943.0741481781006,958.0575439453125,33.66766214944802,[30.088846 39.504654 30.570871],0.001
866.363468170166,896.0133361816406,32.51637958639076,[29.35779  37.927895 29.521847],0.001
790.7841949462891,849.1905487060546,31.642493193303864,[28.498354 36.884754 28.828821],0.001
715.5985412597656,790.0239501953125,30.430253123754678,[27.935055 35.123978 27.63946 ],0.001
656.6733961105347,744.057095336914,29.457751004417858,[27.34805  33.75818  26.753445],0.001
599.3964290618896,694.7377624511719,28.565012881801753,[26.524897 32.744045 25.925611],0.001
550.560230255127,650.15068359375,27.662396695116076,[25.761131 31.652391 25.102087],0.001
506.24868965148926,623.0736602783203,26.94981297585558,[25.483788 30.479519 24.504133],0.001
470.01492404937744,594.2545669555664,26.549432677333826,[24.869112 30.342531 23.989067],0.001
430.09739780426025,557.1957824707031,25.615868704617213,[24.377213 28.92641  23.184744],0.001
400.48077917099,530.4488159179688,25.047932565009233,[23.944542 28.187185 22.679031],0.001
374.8808128833771,522.786587524414,24.92401416171949,[23.778568 28.216944 22.405426],0.001
345.4824676513672,497.18918762207034,24.217216433300994,[23.208586 27.09621  22.058504],0.001
327.2102508544922,479.4480010986328,23.769236915289397,[22.859482 26.649746 21.498024],0.001
308.16030263900757,460.9738296508789,23.292600263834462,[22.419008 26.054424 21.12323 ],0.001
291.3920421600342,457.1165252685547,23.270602378507387,[22.19165  26.337149 20.93915 ],0.001
269.8635993003845,434.4948455810547,22.728618257400186,[21.77301  25.615694 20.482738],0.001
250.55406713485718,429.8222122192383,22.493791868144907,[21.645073 25.149473 20.418297],0.001
238.14877486228943,407.5629135131836,21.952340955750028,[21.240894 24.550434 19.794352],0.001
221.04007863998413,409.65023651123045,22.076844304459804,[21.17058  24.811829 19.958479],0.001
210.4565498828888,392.81829223632815,21.5675258805321,[20.957481 24.031597 19.461264],0.001
197.21597909927368,374.7649444580078,21.190259545587804,[20.41251  23.811771 19.063324],0.001
190.5291758775711,371.5616149902344,21.109035983352825,[20.348331 23.75921  18.926685],0.001
187.65917325019836,364.2769302368164,20.881285309383497,[20.364256 23.329752 18.684326],0.001
177.54228734970093,360.13076934814455,20.761301662673166,[20.112394 23.180073 18.74222 ],0.001
169.88805532455444,360.6536064147949,20.768078385685673,[20.25037  22.61383  19.299648],0.001
160.76744198799133,349.87386322021484,20.53893397520647,[19.796738 22.96132  18.612104],0.001
149.94065833091736,336.3135757446289,20.112658015567508,[19.552399 22.395893 18.15722 ],0.001
141.52706694602966,339.4296447753906,20.26372976271852,[19.68837  22.138504 18.817837],0.001
136.96300554275513,325.78526916503904,19.767422102097683,[19.182219 21.67263  18.291872],0.001
129.72137641906738,316.1735958099365,19.574074145719113,[18.850851 21.737795 17.931726],0.001
123.33903479576111,323.1468139648438,19.66231337820686,[19.071318 21.485165 18.289131],0.001
122.99805426597595,318.9585762023926,19.581984886116068,[18.69675  21.753004 18.099745],0.001
119.19710636138916,325.9882446289063,19.419407903443208,[18.459522 21.590391 18.012255],0.001
108.98201167583466,290.51931915283205,18.686316819515206,[18.118692 20.499725 17.291891],0.001
107.45240426063538,326.3047302246094,19.847858057796106,[18.86428  21.781021 18.749357],0.001
103.46699237823486,292.26796493530276,18.84188423599137,[18.16229  20.786865 17.409405],0.001
98.41346144676208,342.5254760742188,19.55338511319116,[19.01992  20.93988  18.621725],0.001
95.36554598808289,301.64261627197266,18.977367373060716,[17.99794  21.035086 17.72063 ],0.001
90.38588726520538,303.1745864868164,19.029568602602946,[18.024956 21.040342 17.854364],0.001
86.66639828681946,302.51781730651857,19.120046335587162,[18.153524 21.064968 17.984583],0.0005
81.0174469947815,289.9980297088623,18.767654448961515,[17.78439  20.801653 17.540846],0.0005
77.34115087985992,288.43517303466797,18.654655861278556,[17.674612 20.704054 17.405136],0.0005
74.54276084899902,293.88421936035155,18.840134914425374,[17.823849 20.81856  17.712988],0.0005
73.20300877094269,295.6114471435547,18.880758253485546,[17.800821 20.821426 17.861916],0.0005
71.26436305046082,293.28962059020995,18.85964684973913,[17.733969 21.012878 17.635878],0.0005
70.80117297172546,288.4651191711426,18.571688757111335,[17.530157 20.60078  17.407597],0.0005
72.010937333107,288.4931869506836,18.73585322436429,[17.516512 20.997314 17.475157],0.0005
68.54473173618317,286.003702545166,18.634749145948327,[17.53067  20.688543 17.504894],0.0005
64.11767810583115,282.44413261413575,18.44838711271386,[17.234953 20.57554  17.338757],0.0005
61.0230575799942,292.9855163574219,18.82646598629714,[17.615927 20.999878 17.663288],0.0005
62.01090383529663,290.94993591308594,18.687974394323497,[17.515419 20.722357 17.649796],0.0005
60.9116325378418,278.07865447998046,18.44028630297119,[17.42991  20.528643 17.172812],0.0005
59.900182366371155,287.12854080200196,18.613877630136273,[17.557865 20.489988 17.644009],0.0005
56.98006772994995,284.6333404541016,18.517793913051577,[17.307707 20.664434 17.382477],0.0005
57.230331897735596,278.2167610168457,18.4104459218936,[17.151052 20.542513 17.34013 ],0.0005
53.34932553768158,272.31011962890625,18.200475095479565,[17.203402 20.231665 16.985128],0.0005
55.03163039684296,279.685969543457,18.306923078911638,[17.414503 20.056046 17.318209],0.0005
56.28189241886139,280.7924003601074,18.50254927932863,[17.429699 20.494766 17.412731],0.0005
52.06149733066559,267.47830352783205,17.86363872851908,[16.688492 19.948088 16.759977],0.0005
52.847327172756195,273.81029930114744,18.310715936719525,[17.241093 20.329596 17.18427 ],0.0005
53.41929888725281,272.4171794891357,18.137448580647305,[17.000706 20.16931  17.06095 ],0.0005
47.90480715036392,275.6717468261719,18.292801505348013,[17.075052 20.377012 17.236582],0.0005
48.75632029771805,285.8944145202637,18.522268553636913,[17.101917 20.63983  17.627964],0.0005
47.30110174417496,276.16058654785155,18.21756736620418,[16.98961  20.322414 17.146193],0.0005
46.91940438747406,264.95576934814454,17.939242926265816,[16.88709  19.759912 17.024137],0.0005
43.057451248168945,266.6060031890869,18.06270190063413,[16.91412  20.014496 17.091402],0.0005
43.220839619636536,271.2633171081543,18.089873694236715,[16.849277 20.096224 17.145678],0.0005
41.53217124938965,267.15786361694336,18.001494451579134,[16.782154 20.10584  16.919687],0.0005
44.50743234157562,274.52540130615233,18.284625089086116,[17.074755 20.353468 17.238667],0.0005
39.84993839263916,270.6309280395508,17.827331578806266,[16.694847 19.768332 16.850412],0.0005
37.92670780420303,270.0026149749756,18.06806369086376,[16.732965 20.214602 17.051172],0.00025
37.8853502869606,259.3424812316895,17.698153572974164,[16.485384 19.722984 16.700594],0.00025
38.18700456619263,259.2735179901123,17.76407978245927,[16.501942 19.813345 16.787046],0.00025
35.95582330226898,269.7780258178711,17.957837209316942,[16.764393 19.896332 17.045319],0.00025
35.728817731142044,259.47457695007324,17.783439836597278,[16.616222 19.780783 16.774208],0.00025
34.65895700454712,268.46932754516604,18.03834180024161,[16.795553 20.077229 17.057537],0.00025
34.715455144643784,268.1508079528809,18.00010426808993,[16.689447 20.072947 17.045542],0.00025
35.24613183736801,264.5866394042969,17.92524880378887,[16.741154 19.84006  17.030836],0.00025
33.75267642736435,265.0620056152344,17.952666035256087,[16.848097 19.758419 17.106758],0.000125
32.46388137340546,261.00987854003904,17.836175329667093,[16.66529  19.715485 16.969242],0.000125
32.518148481845856,263.84251594543457,17.9218809598399,[16.678782 19.904089 17.006672],0.000125
32.357502430677414,264.71558609008787,17.95769615842632,[16.683214 19.93685  17.077145],0.000125
32.175174713134766,260.7316776275635,17.83366598133946,[16.632896 19.73952  16.965172],0.000125
